Date,Country,iso3,aqi,co,no2,o3,pm10,pm25,so2
2015-12-28,China,CHN,153.3333333,13.27692308,20.35961538,12.39411765,77.36538462,139.1730769,16.95769231
2015-12-28,India,IND,,17.8,10.45,20.36666667,127,190,5.5
2015-12-28,Thailand,THA,,9.42,12.28,18.4,47.2,,6.9
2015-12-29,China,CHN,273.6666667,15.43461538,24.20961538,11.61176471,95.19230769,168.1923077,18.31730769
2015-12-29,India,IND,,7.84,12.525,14.23333333,127,201.875,5.56
2015-12-29,Thailand,THA,,10.16666667,14.86666667,20.68,45.16666667,,6.716666667
2015-12-30,China,CHN,135.3333333,14.75961538,25.75384615,11.15490196,95.80769231,162.2115385,18.19423077
2015-12-30,India,IND,,9.577777778,12.68888889,10.96666667,112.6,221.8181818,4.755555556
2015-12-30,Thailand,THA,,10.1,16.11666667,18.6,47,,7.183333333
2015-12-31,China,CHN,130,14.7673913,24.99782609,14.04090909,97.84782609,170.9782609,18.43913043
2015-12-31,India,IND,,16.98333333,13.78,4.3,66.5,203,2.02
2016-01-01,India,IND,,4.35,14.6,4.625,126,164.6666667,7.75
2016-01-02,India,IND,,7.925,7.725,8.866666667,155,178,8.75
2016-01-02,Thailand,THA,,8.9,23.2,,,,
2016-01-03,China,CHN,,18.25,27.46666667,10.81666667,119.8333333,200.1666667,23.61666667
2016-01-03,India,IND,,7.985714286,11.44285714,13.66666667,144,209.7777778,2.914285714
2016-01-03,Thailand,THA,,8.833333333,14.73333333,26.25,43.5,,7.65
2016-01-04,China,CHN,142.3333333,14.32884615,24.47884615,12.56862745,94.26923077,164.6153846,15.69038462
2016-01-04,India,IND,,10.24444444,15.07777778,11.06666667,153.6,225,5.733333333
2016-01-04,Thailand,THA,,10.1,22.61666667,27.45,53,,9.333333333
2016-01-05,China,CHN,96.33333333,12.66730769,19.53653846,12.60196078,66.90384615,123.25,14.46346154
2016-01-05,India,IND,,11.46666667,15,8.944444444,153.2,230,6
2016-01-05,Thailand,THA,,9.133333333,19.18333333,30.1,51.83333333,,8.383333333
2016-01-06,China,CHN,131.3333333,12.825,19.69615385,12.1254902,70.21153846,131.8076923,15.525
2016-01-06,India,IND,,12.2125,13.1125,10,153.25,242.3,5.8875
2016-01-06,Thailand,THA,,9.333333333,18.25,22.85,53,113,6.95
2016-01-07,China,CHN,133,12.41346154,18.95961538,13.50588235,68.59615385,132.2307692,14.85576923
2016-01-07,India,IND,,11.8,10.85,11.525,167.5,245.3,5.3625
2016-01-07,Thailand,THA,,8.3,15.22,23.56,54,125,7.883333333
2016-01-08,China,CHN,122.3333333,13.34807692,20.87692308,14.0627451,76.46153846,143.1730769,16.66538462
2016-01-08,India,IND,,9.975,12.41428571,8.575,163.5,217.2,3.35
2016-01-08,Thailand,THA,,8.983333333,15.08,18.6,46.5,117,8.133333333
2016-01-09,China,CHN,170.6666667,15.01538462,24.56730769,13.25882353,94.09615385,160.7884615,17.82692308
2016-01-09,India,IND,,8.6,11.4375,8.522222222,101.4,176.3636364,3.288888889
2016-01-09,Thailand,THA,,6.583333333,10.96,16.2,35.33333333,103,7.183333333
2016-01-10,China,CHN,195.3333333,14.78653846,24.17884615,12.17254902,96.13461538,161.1923077,17.22692308
2016-01-10,India,IND,,7.577777778,12.2875,9.933333333,116.6,178.7272727,5.2
2016-01-10,Thailand,THA,,6.466666667,9.016666667,17.32,31,84,3.85
2016-01-11,China,CHN,65.66666667,11.01538462,16.77884615,14.7745098,55.19230769,114.5384615,11.88461538
2016-01-11,India,IND,,8.8,11.6125,9.577777778,125.8,194.4545455,4.811111111
2016-01-11,Thailand,THA,,7.733333333,15.66666667,15.24,43,107,4.8
2016-01-12,China,CHN,112.3333333,10.57884615,16.55769231,13.04117647,55.38461538,112,13.775
2016-01-12,India,IND,,10.45555556,11.5,10.33333333,114.5,197.6363636,4.933333333
2016-01-12,Thailand,THA,,8.483333333,17.31666667,13.48,45,125,5.766666667
2016-01-13,China,CHN,98.66666667,11.70192308,19.02115385,11.88235294,67.09615385,132.5576923,16.17115385
2016-01-13,India,IND,,9.033333333,10.8,10.42222222,120.4,210.9090909,4.744444444
2016-01-13,Thailand,THA,,8.15,14.4,16.86,47.33333333,131,5.766666667
2016-01-14,China,CHN,65.66666667,13.08461538,22.98269231,11.2,74.40384615,142.8461538,18.71730769
2016-01-14,India,IND,,10.18888889,10.51111111,9.277777778,122.6,212.4545455,4.333333333
2016-01-14,Thailand,THA,,8.816666667,14.55,16.52,43.83333333,114,5.766666667
2016-01-15,China,CHN,120,14.64038462,26.04038462,10.30784314,79.46153846,149.5961538,20.18846154
2016-01-15,India,IND,,8.488888889,9.433333333,10.92222222,108.8,183.2,4.477777778
