Code,Cause,Country,iso3,year,Sex,Age Group,Population,Deaths,Death rate,DALY,DALY rate per 100 000 population
1140,Stroke,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,120674.9,76.38,2676519,1694
1130,Ischaemic heart disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,90632.07,57.36,2216751,1403.01
30,Tuberculosis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,61224,38.75,2971096,1880.44
490,Neonatal conditions,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,52495.41,33.22,5453862,3451.81
1180,Chronic obstructive pulmonary disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,39330.24,24.89,1037541,656.67
110,Diarrhoeal diseases,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,37096.07,23.48,1652768,1046.06
390,Lower respiratory infections,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,29654.03,18.77,1545789,978.35
1530,Road injury,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,24954,15.79,1675153,1060.22
800,Diabetes mellitus,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,23202.02,14.68,942941.9,596.8
1230,Cirrhosis of the liver,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,18954.17,12,639805.7,404.94
630,Oesophagus cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,17651.62,11.17,550967.4,348.71
620,Mouth and oropharynx cancers,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,13792.34,8.73,452063.6,286.12
1120,Hypertensive heart disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,12355.73,7.82,234281.7,148.28
950,Alzheimer disease and other dementias,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,12210.88,7.73,223431.4,141.41
1400,Congenital anomalies,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,11289.46,7.15,1082093,684.87
680,"Trachea, bronchus, lung cancers",Bangladesh,BGD,2016,BTSX,ALLAges,158000000,10523.97,6.66,290393.2,183.79
1270,Kidney diseases,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,9305.97,5.89,390885.5,247.4
1190,Asthma,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,8384.24,5.31,278498.2,176.26
1570,Drowning,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,8050.49,5.1,576948.6,365.16
640,Stomach cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,6247.9,3.95,193664,122.57
700,Breast cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,6026.74,3.81,206402.2,130.63
1610,Self-harm,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,5357.48,3.39,292813.6,185.33
710,Cervix uteri cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,4789.23,3.03,175755.7,111.24
420,Maternal conditions,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,4691.5,2.97,317167.2,200.74
752,Gallbladder and biliary tract cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,4539.06,2.87,145303,91.96
1620,Interpersonal violence,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,4460.29,2.82,344022,217.74
1242,Paralytic ileus and intestinal obstruction,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,4351.95,2.75,166583.2,105.43
650,Colon and rectum cancers,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,3874.25,2.45,122810.1,77.73
550,Protein-energy malnutrition,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,3218.35,2.04,274959.8,174.03
960,Parkinson disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,3031.48,1.92,53000.32,33.54
1550,Falls,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2976.37,1.88,262263.5,165.99
870,Drug use disorders,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2705.67,1.71,215573.1,136.44
1110,Rheumatic heart disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2679.13,1.7,140432.3,88.88
753,Larynx cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2582.35,1.63,77811.17,49.25
660,Liver cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2556.43,1.62,82328.97,52.11
760,"Lymphomas, multiple myeloma",Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2381.92,1.51,88682.59,56.13
170,Meningitis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2295.55,1.45,158764.6,100.48
130,Whooping cough,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2226.19,1.41,197687.4,125.12
186,Acute hepatitis A,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,2158.78,1.37,90720.53,57.42
730,Ovary cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1929.07,1.22,73069.43,46.25
1248,Pancreatitis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1792.71,1.13,62515.74,39.57
770,Leukaemia,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1738.58,1.1,90764.52,57.45
740,Prostate cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1442.38,0.91,28882.93,18.28
1150,"Cardiomyopathy, myocarditis, endocarditis",Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1273.25,0.81,41365.21,26.18
50,Syphilis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1237.89,0.78,106640,67.49
970,Epilepsy,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1199.84,0.76,166225.6,105.21
1240,Appendicitis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1173.91,0.74,74689.85,47.27
670,Pancreas cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1167.95,0.74,34395.93,21.77
1220,Peptic ulcer disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1142.52,0.72,41925.42,26.54
1560,"Fire, heat and hot substances",Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1071.22,0.68,77161.72,48.84
751,Brain and nervous system cancers,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1048.33,0.66,48192.03,30.5
320,Rabies,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,996.06,0.63,49545.92,31.36
190,Acute hepatitis B,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,979.57,0.62,41680.02,26.38
1330,Skin diseases,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,939,0.59,388230.8,245.72
745,Kidney cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,907.17,0.57,27963.09,17.7
750,Bladder cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,886.97,0.56,23950.31,15.16
1246,Gallbladder and biliary diseases,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,774.03,0.49,43393.26,27.46
690,Melanoma and other skin cancers,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,762.86,0.48,23791.88,15.06
1575,Exposure to mechanical forces,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,696.96,0.44,79821.52,50.52
1350,Rheumatoid arthritis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,679.51,0.43,60072.32,38.02
1244,Inflammatory bowel disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,521.7,0.33,20646.25,13.07
1505,Sudden infant death syndrome,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,486.53,0.31,43576.82,27.58
1540,Poisonings,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,450.48,0.29,30792.26,19.49
160,Tetanus,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,464.48,0.29,33506.55,21.21
100,HIV/AIDS,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,437.57,0.28,24417.09,15.45
754,Thyroid cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,445.4,0.28,16241.34,10.28
180,Encephalitis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,411.57,0.26,40438.69,25.59
720,Corpus uteri cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,361.99,0.23,11104.88,7.03
1630,Collective violence and legal intervention,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,314.2,0.2,22853.09,14.46
1320,Gynecological diseases,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,268.55,0.17,624982.4,395.56
860,Alcohol use disorders,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,234.59,0.15,227958.6,144.28
295,Echinococcosis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,236.88,0.15,12651.79,8.01
1580,Natural disasters,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,201.89,0.13,86291.13,54.61
200,Acute hepatitis C,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,192.45,0.12,7387.67,4.68
742,Testicular cancer,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,170.71,0.11,8805.26,5.57
811,Thalassaemias,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,162.33,0.1,143719.9,90.96
980,Multiple sclerosis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,152.41,0.1,8713.08,5.51
220,Malaria,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,137.64,0.09,10219.42,6.47
400,Upper respiratory infections,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,115.72,0.07,150548.9,95.28
150,Measles,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,97.88,0.06,8648.43,5.47
1241,Gastritis and duodenitis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,73.59,0.05,43122.52,27.29
260,Leishmaniasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,77.58,0.05,5416.93,3.43
205,Acute hepatitis E,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,80.18,0.05,4355.71,2.76
300,Dengue,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,57.51,0.04,16172.01,10.24
340,Ascariasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,39.8,0.03,115389.4,73.03
70,Gonorrhoea,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,50.3,0.03,3590.43,2.27
1290,Urolithiasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,52.82,0.03,7337.55,4.64
60,Chlamydia,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,17.06,0.01,6181.87,3.91
410,Otitis media,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,15.89,0.01,73034.92,46.22
755,Mesothelioma,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,22.17,0.01,1021.94,0.65
812,Sickle cell disorders and trait,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1.49,0,9850.51,6.23
830,Depressive disorders,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,1234210,781.15
840,Bipolar disorder,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,133175.2,84.29
850,Schizophrenia,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,281578.5,178.21
880,Anxiety disorders,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,474844.7,300.53
890,Eating disorders,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,1.47,0,42031.52,26.6
900,Autism and Asperger syndrome,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,72680.25,46
910,Childhood behavioural disorders,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,121317.3,76.78
920,Idiopathic intellectual disability,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,85929.1,54.39
560,Iodine deficiency,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,69988.25,44.3
570,Vitamin A deficiency,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,17175.86,10.87
580,Iron-deficiency anaemia,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,756352.7,478.7
350,Trichuriasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,18235.43,11.54
360,Hookworm disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,26335.97,16.67
362,Food-bourne trematodes,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
365,Leprosy,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,724.82,0.46
310,Trachoma,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
315,Yellow fever,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
270,Lymphatic filariasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,42608.83,26.97
280,Onchocerciasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
285,Cysticercosis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,4.7,0,366.1,0.23
80,Trichomoniasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,3481.93,2.2
85,Genital herpes,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,2551.83,1.62
140,Diphtheria,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,5.48,0,428.9,0.27
230,African trypanosomiasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
240,Chagas disease,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
250,Schistosomiasis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,0,0
1310,Infertility,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,70879.15,44.86
1280,Benign prostatic hyperplasia,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,23444.96,14.84
1360,Osteoarthritis,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,188714.7,119.44
1370,Gout,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,13867.12,8.78
1380,Back and neck pain,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,712322.3,450.84
990,Migraine,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,554101.4,350.7
1000,Non-migraine headache,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,78332.98,49.58
1030,Glaucoma,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,19941.71,12.62
1040,Cataracts,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,234048.2,148.13
1050,Uncorrected refractive errors,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,680378.4,430.62
1060,Macular degeneration,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,21526.8,13.62
1070,Other vision loss,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,65758.29,41.62
1080,Other hearing loss,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,632126.3,400.08
1470,Oral conditions,Bangladesh,BGD,2016,BTSX,ALLAges,158000000,0,0,325749.6,206.17
1140,Stroke,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,129264.6,80.79,2802550,1751.59
1130,Ischaemic heart disease,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,98729.66,61.71,2334792,1459.24
30,Tuberculosis,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,54706.68,34.19,2719629,1699.77
490,Neonatal conditions,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,49817.64,31.14,5224964,3265.6
1180,Chronic obstructive pulmonary disease,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,43091.35,26.93,1070112,668.82
110,Diarrhoeal diseases,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,37358.45,23.35,1588637,992.9
390,Lower respiratory infections,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,30378.43,18.99,1465128,915.71
800,Diabetes mellitus,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,25859.08,16.16,986545.5,616.59
1530,Road injury,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,24940.25,15.59,1701033,1063.15
1230,Cirrhosis of the liver,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,19845.19,12.4,655292.3,409.56
630,Oesophagus cancer,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,18311.78,11.44,580720.8,362.95
620,Mouth and oropharynx cancers,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,14367.05,8.98,478337.3,298.96
1120,Hypertensive heart disease,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,13464.3,8.42,248595,155.37
950,Alzheimer disease and other dementias,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,13352.2,8.35,239201.2,149.5
680,"Trachea, bronchus, lung cancers",Bangladesh,BGD,2017,BTSX,ALLAges,160000000,11141.21,6.96,307809.7,192.38
1400,Congenital anomalies,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,10772.25,6.73,1035319,647.07
1270,Kidney diseases,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,9956.07,6.22,402793.5,251.75
1190,Asthma,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,8721.72,5.45,283044.1,176.9
1570,Drowning,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,7406.63,4.63,514993.6,321.87
640,Stomach cancer,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,6506.32,4.07,201567.3,125.98
700,Breast cancer,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,6275.26,3.92,214405.6,134
1610,Self-harm,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,5559.36,3.47,302092.4,188.81
710,Cervix uteri cancer,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,4885.6,3.05,180060,112.54
752,Gallbladder and biliary tract cancer,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,4706.16,2.94,151641.3,94.78
1242,Paralytic ileus and intestinal obstruction,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,4587.75,2.87,171805.2,107.38
420,Maternal conditions,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,4409.5,2.76,295197.9,184.5
1620,Interpersonal violence,Bangladesh,BGD,2017,BTSX,ALLAges,160000000,4364.19,2.73,336651.1,210.41
